序号,识别文本,置信度,OCR引擎,位置X1,位置Y1,位置X2,位置Y2
1,考,0.920,chinese_ocr_optimizer,1468,145,1856,211
2,8.6,0.920,chinese_ocr_optimizer,1075,400,1355,472
3,(克),0.910,chinese_ocr_optimizer,1137,630,1355,699
4,脂肪,0.950,chinese_ocr_optimizer,138,516,365,580
5,22%,0.940,chinese_ocr_optimizer,1817,291,1953,345
6,nutriti0n,0.950,chinese_ocr_optimizer,1033,22,1256,72
7,14%,0.960,chinese_ocr_optimizer,1822,405,1953,456
8,NRV,0.920,chinese_ocr_optimizer,2001,155,2124,203
9,inf0rmati0n:,0.960,chinese_ocr_optimizer,1274,22,1582,70
10,100,0.910,chinese_ocr_optimizer,1215,156,1308,203
11,12.9,0.920,chinese_ocr_optimizer,1059,515,1354,584
12,22%,0.950,chinese_ocr_optimizer,1818,517,1955,573
13,13%,0.960,chinese_ocr_optimizer,1822,861,1954,915
14,50dium,0.900,chinese_ocr_optimizer,154,859,445,918
15,质,0.920,chinese_ocr_optimizer,134,399,552,467
16,24%,0.950,chinese_ocr_optimizer,1817,749,1954,801
17,4/ltems,0.290,tesseract_fallback,249,147,450,204
18,营养成分表,0.935,tesseract_fallback,688,16,1021,85
19,项,0.960,chinese_ocr_optimizer,151,152,210,203
20,(克),0.920,chinese_ocr_optimizer,994,150,1073,217
21,1840,0.630,chinese_ocr_optimizer,949,288,1155,347
22,每,0.950,chinese_ocr_optimizer,751,149,970,207
23,per,0.920,chinese_ocr_optimizer,1088,148,1199,210
24,253,0.960,chinese_ocr_optimizer,929,858,1354,931
25,carb0hydrate,0.840,chinese_ocr_optimizer,421,752,862,808
26,fatty,0.960,chinese_ocr_optimizer,782,638,1026,693
27,72.3,0.900,chinese_ocr_optimizer,1048,745,1355,811
28,acid,0.960,chinese_ocr_optimizer,913,641,1025,687
29,%,0.830,chinese_ocr_optimizer,2136,154,2184,204
30,本,0.960,chinese_ocr_optimizer,278,628,769,691
31,(千焦),0.930,chinese_ocr_optimizer,948,283,1357,357
